"repo","state","creator","assignees","message","labels","created_at","updated_at","closed_at","comments","milestone","url","duration","bill"
"eventjuicer/services","closed","jprzybylski4","","EGA submission emails","","2021-11-10","2021-11-17","2021-11-17",0,"","https://github.com/eventjuicer/services/pull/28",9758,0
"eventjuicer/services","closed","jprzybylski4","","Send EGA submission emails","","2021-11-10","2021-11-15","2021-11-15",0,"","https://github.com/eventjuicer/services/issues/29",6840,0
"eventjuicer/services","closed","jprzybylski4","","Send additional services emails","","2021-10-29","2021-11-15","2021-11-15",2,"","https://github.com/eventjuicer/services/issues/27",24038,0
"eventjuicer/services","closed","jprzybylski4","","Additional Services Emails","","2021-10-29","2021-11-03","2021-11-03",0,"","https://github.com/eventjuicer/services/pull/26",6915,0
"ecommerceberlin/ecommerceberlin.com","closed","az","az","Send EGA submission emails $30$","maintenance","2021-11-15","2021-11-17","2021-11-17",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/95",2952,30
"ecommerceberlin/ecommerceberlin.com","closed","jprzybylski4","az","Change company URLs $60$","maintenance","2021-11-03","2021-11-09","2021-11-09",2,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/86",8412,60
"ecommerceberlin/ecommerceberlin.com","closed","jprzybylski4","az","Separate company profiles","maintenance","2021-11-03","2021-11-03","2021-11-03",1,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/87",30,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","az","sponsors subpage + list of companies ","enhancement","2021-11-09","2021-11-10","2021-11-10",1,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/79",161,0
"ecommerceberlin/ecommercegermanyawards.com","closed","az","az","add project logotype to appbar/header","enhancement, update","2021-10-31","2021-11-09","2021-11-09",1,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/77",12672,0
"ecommerceberlin/ecommercegermanyawards.com","closed","jprzybylski4","az","Update ""support"" details in the footer $30$","","2021-11-05","2021-11-09","2021-11-09",1,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/78",5780,30
"ecommerceberlin/ecommercegermanyawards.com","closed","az","az, jprzybylski4","email confirmation template updates","","2021-10-07","2021-11-05","2021-10-27",2,"2021_submissions","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/64",28412,0
"ecommerceberlin/event.ecommerceberlin.com","open","az","jprzybylski4","add new account managers contact details","","2021-11-10","2021-11-10","",1,"","https://github.com/ecommerceberlin/event.ecommerceberlin.com/issues/10",0,0
"ecommerceberlin/event.ecommerceberlin.com","open","az","jprzybylski4","business rules for showing vouchers assignment","","2021-11-10","2021-11-10","",0,"","https://github.com/ecommerceberlin/event.ecommerceberlin.com/issues/11",0,0
"ecommerceberlin/event.ecommerceberlin.com","open","az","az","add filtering by account manager","","2021-11-10","2021-11-10","",1,"","https://github.com/ecommerceberlin/event.ecommerceberlin.com/issues/9",0,0
"ecommerceberlin/targiehandlu.pl","open","az","az","fix hardcoded domain in console/apiCall","bug","2021-11-18","2021-11-18","",0,"","https://github.com/ecommerceberlin/targiehandlu.pl/issues/101",0,0
"ecommerceberlin/targiehandlu.pl","open","az","az","blockings should be also counted in ticket limits?","","2021-11-18","2021-11-18","",0,"","https://github.com/ecommerceberlin/targiehandlu.pl/issues/100",0,0
"ecommerceberlin/targiehandlu.pl","open","az","az","add to cart button should force checking current state... ","","2021-11-18","2021-11-18","",0,"","https://github.com/ecommerceberlin/targiehandlu.pl/issues/99",0,0
"ecommerceberlin/targiehandlu.pl","open","az","az","save timestamps of data fetching","","2021-11-18","2021-11-18","",0,"","https://github.com/ecommerceberlin/targiehandlu.pl/issues/98",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","az, jprzybylski4","more profile info for ticket download page","","2021-11-10","2021-11-10","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/94",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","jprzybylski4","verify vip registration form  https://ecommerceberlin.com/vip","","2021-11-10","2021-11-10","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/93",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","az","profile errors auto-email","enhancement","2021-11-10","2021-11-10","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/92",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","az","re-think exhibitors promo offers ","","2021-11-10","2021-11-10","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/91",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","az","subpage covid (localise)","","2021-11-10","2021-11-10","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/90",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","jprzybylski4","scanner ""app"" info email - based on teh20 template","translations","2021-11-05","2021-11-05","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/89",0,0
"ecommerceberlin/ecommerceberlin.com","open","az","az","additional services - intelligent sending script (skip companies which already purchased sth)","","2021-11-05","2021-11-05","",0,"","https://github.com/ecommerceberlin/ecommerceberlin.com/issues/88",0,0
"ecommerceberlin/ecommercegermanyawards.com","open","az","az","cloning widgets for jury voting","","2021-11-10","2021-11-10","",0,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/81",0,0
"ecommerceberlin/ecommercegermanyawards.com","open","az","jprzybylski4","translations, company profile data for sponsors page","translations","2021-11-10","2021-11-10","",0,"","https://github.com/ecommerceberlin/ecommercegermanyawards.com/issues/80",0,0
